CustomerID,Tenure_Months,Monthly_Charges,Total_Tickets,Contract_Type,Tech_Support,Churn
1,52,119.41,7,Month-to-month,No,1
2,15,119.41,6,Month-to-month,Yes,1
3,61,119.41,6,One year,No,1
4,21,119.41,5,Two year,Yes,0
5,24,119.41,4,Month-to-month,No,0
6,3,119.41,9,One year,No,1
7,22,119.41,7,Month-to-month,No,1
8,53,119.41,4,One year,Yes,0
9,2,119.41,8,Month-to-month,Yes,1
10,30,119.41,8,Two year,No,1
11,38,119.41,0,Month-to-month,No,0
12,2,119.41,5,One year,Yes,0
13,64,119.41,6,Month-to-month,No,1
14,60,119.41,2,Month-to-month,Yes,0
15,21,119.41,6,Month-to-month,No,1
16,33,119.41,6,Month-to-month,Yes,1
17,58,119.41,1,Month-to-month,No,0
18,22,119.41,6,Month-to-month,No,1
19,49,119.41,0,One year,Yes,0
20,59,119.41,4,One year,No,0
21,42,119.41,8,Month-to-month,No,1
22,60,119.41,6,One year,No,1
23,15,119.41,6,Month-to-month,Yes,1
24,62,119.41,1,One year,No,0
25,62,119.41,7,Month-to-month,Yes,1
26,47,119.41,2,One year,No,0
27,62,119.41,7,Month-to-month,No,1
28,51,119.41,2,Two year,No,0
29,55,119.41,9,Month-to-month,No,1
30,64,119.41,6,Month-to-month,No,1
31,3,119.41,1,Month-to-month,No,1
32,51,119.41,3,Two year,Yes,0
33,7,119.41,5,One year,Yes,0
34,21,119.41,8,One year,No,1
35,39,119.41,4,Two year,No,0
36,18,119.41,8,Two year,Yes,0
37,4,119.41,4,One year,No,0
38,60,119.41,9,Month-to-month,No,1
39,14,119.41,7,Two year,No,1
40,9,119.41,0,Month-to-month,Yes,1
41,53,119.41,6,One year,No,1
42,2,119.41,3,One year,Yes,0
43,60,119.41,4,One year,Yes,0
44,71,119.41,5,One year,No,0
45,44,119.41,4,One year,No,0
46,8,119.41,0,Two year,No,0
47,47,119.41,8,Month-to-month,Yes,1
48,35,119.41,1,Month-to-month,No,0
49,36,119.41,8,One year,Yes,0
50,50,119.41,9,Two year,No,0
51,4,119.41,1,Month-to-month,No,1
52,2,119.41,8,Month-to-month,No,1
53,6,119.41,5,Month-to-month,No,1
54,54,119.41,8,Month-to-month,No,1
55,4,119.41,5,Two year,No,0
56,54,119.41,5,One year,No,0
57,63,119.41,1,One year,Yes,0
58,18,119.41,7,One year,No,0
59,44,119.41,2,One year,No,0
60,34,119.41,6,Month-to-month,Yes,1
61,62,119.41,4,Month-to-month,No,0
62,14,119.41,2,Month-to-month,Yes,0
63,48,119.41,0,Month-to-month,No,0
64,15,119.41,7,Month-to-month,No,1
65,62,119.41,2,Month-to-month,No,0
66,40,119.41,1,Month-to-month,Yes,0
67,53,119.41,0,Month-to-month,Yes,0
68,24,119.41,3,One year,Yes,0
69,26,119.41,7,Month-to-month,Yes,1
70,60,119.41,2,Two year,No,0
71,41,119.41,0,Month-to-month,No,0
72,29,119.41,3,One year,No,0
73,15,119.41,8,Two year,No,1
74,45,119.41,0,Two year,No,0
75,65,119.41,1,Two year,No,0
76,71,119.41,8,Month-to-month,Yes,1
77,9,119.41,1,Month-to-month,No,1
78,1,119.41,2,Month-to-month,No,1
79,8,119.41,6,Month-to-month,No,1
80,63,119.41,2,Month-to-month,No,0
81,11,119.41,8,Two year,No,1
82,8,119.41,5,One year,Yes,0
83,35,119.41,2,One year,No,0
84,35,119.41,8,Two year,Yes,1
85,33,119.41,0,One year,No,0
86,5,119.41,9,One year,No,1
